org,category,group,product,date,unit_price,amazon,wal-mart,target,costco,family dollar,dollar general,cvs,kroger,walgreens,rite aid,ahold,safeway,brand
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J FOODSERVICE,0N03 - B&J 2.4 GALLON TUBS,1/1/17,31.33,0,6224,3421,2353,1274,1300,1256,1228,1175,930,751,411,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J FOODSERVICE,0N03 - B&J 2.4 GALLON TUBS,1/1/17,31.33,0,1713,966,652,358,358,342,352,319,257,212,114,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J FOODSERVICE,0N03 - B&J 2.4 GALLON TUBS,1/1/17,31.33,0,679,382,264,146,142,140,137,129,103,83,46,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J FOODSERVICE,0N03 - B&J 2.4 GALLON TUBS,1/1/17,31.33,0,134,76,53,28,28,27,27,25,19,16,9,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J FOODSERVICE,0N03 - B&J 2.4 GALLON TUBS,1/1/17,31.33,0,1837,1011,710,377,389,368,367,347,272,220,122,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J FOODSERVICE,0N03 - B&J 2.4 GALLON TUBS,1/1/17,31.33,0,303,169,114,62,62,60,59,56,44,36,20,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J FOODSERVICE,0N03 - B&J 2.4 GALLON TUBS,1/1/17,31.33,0,1637,902,623,344,347,333,330,306,245,203,110,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J FOODSERVICE,0N03 - B&J 2.4 GALLON TUBS,1/1/17,31.33,0,1636,909,614,336,329,331,321,306,237,196,108,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J FOODSERVICE,0N03 - B&J 2.4 GALLON TUBS,1/1/17,31.33,0,1913,1077,752,400,399,390,397,371,289,235,134,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J FOODSERVICE,0N03 - B&J 2.4 GALLON TUBS,1/1/17,31.33,0,2139,1211,815,453,448,438,437,399,316,259,144,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J FOODSERVICE,0N03 - B&J 2.4 GALLON TUBS,1/1/17,31.33,0,3502,1958,1378,745,740,709,717,656,516,428,243,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J FOODSERVICE,0N03 - B&J 2.4 GALLON TUBS,1/1/17,31.33,0,2481,1347,946,506,507,503,501,470,368,301,166,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J FOODSERVICE,0N03 - B&J 2.4 GALLON TUBS,1/1/17,31.33,0,2046,1116,772,422,423,403,413,376,303,246,138,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J FOODSERVICE,0N03 - B&J 2.4 GALLON TUBS,1/1/17,31.33,0,2680,1482,1046,567,564,539,536,517,406,328,183,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J FOODSERVICE,0N03 - B&J 2.4 GALLON TUBS,1/1/17,31.33,0,3532,2002,1349,740,731,714,725,675,525,443,245,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J FOODSERVICE,0N03 - B&J 2.4 GALLON TUBS,1/1/17,31.33,0,6564,3654,2578,1364,1369,1317,1359,1241,991,820,447,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J FOODSERVICE,0N03 - B&J 2.4 GALLON TUBS,1/1/17,31.33,0,1345,742,524,274,281,267,265,254,197,160,91,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J FOODSERVICE,0N03 - B&J 2.4 GALLON TUBS,1/1/17,31.33,0,740,426,293,159,156,150,150,140,110,92,52,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J FOODSERVICE,0N03 - B&J 2.4 GALLON TUBS,1/1/17,31.33,0,3161,1753,1242,673,676,650,641,602,465,391,218,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J FOODSERVICE,0N03 - B&J 2.4 GALLON TUBS,1/1/17,31.33,0,5868,3241,2204,1206,1218,1170,1163,1111,860,712,402,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J FOODSERVICE,0N03 - B&J 2.4 GALLON TUBS,1/1/17,31.33,0,3573,2007,1419,764,757,731,728,674,534,434,242,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J FOODSERVICE,0N03 - B&J 2.4 GALLON TUBS,1/1/17,31.33,0,1821,1000,689,379,380,357,369,337,263,220,121,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J FOODSERVICE,0N03 - B&J 2.4 GALLON TUBS,1/1/17,31.33,0,1537,875,583,323,323,306,313,290,233,188,103,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J FOODSERVICE,0N03 - B&J 2.4 GALLON TUBS,1/1/17,31.33,0,1114,616,418,232,228,221,223,208,161,132,74,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J FOODSERVICE,0N03 - B&J 2.4 GALLON TUBS,1/1/17,31.33,0,1170,656,447,246,242,229,232,220,169,140,78,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J FOODSERVICE,0N03 - B&J 2.4 GALLON TUBS,1/1/17,31.33,0,1293,719,503,273,269,259,266,242,192,157,87,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J FOODSERVICE,0N03 - B&J 2.4 GALLON TUBS,1/1/17,31.33,0,1209,682,476,254,257,243,244,232,179,147,84,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J FOODSERVICE,0Z0R - B&J 2.4 GALLON TUB BUTTER PECAN,1/1/17,34.3,0,1641,924,649,344,344,336,339,309,247,200,112,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J MULTIPACK,0N0E - MP B&J CUPS,1/1/17,8.2,0,23392,12881,9031,4999,4887,4745,4830,4384,3497,2873,1618,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J MULTIPACK,0N0E - MP B&J CUPS,1/1/17,8.2,0,15906,8611,5962,3207,3269,3120,3190,2894,2325,1926,1052,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J MULTIPACK,0N0E - MP B&J CUPS,1/1/17,8.2,0,6352,3625,2461,1316,1322,1267,1276,1227,932,767,427,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J MULTIPACK,0N0E - MP B&J CUPS,1/1/17,8.2,0,5567,3058,2139,1167,1138,1109,1092,1049,822,684,382,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J MULTIPACK,0N0E - MP B&J CUPS,1/1/17,8.2,0,3156,1748,1180,640,646,616,637,583,457,381,211,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J MULTIPACK,0N0E - MP B&J CUPS,1/1/17,8.2,0,110516,61143,42003,22964,22517,22106,21980,20903,16211,13340,7468,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J MULTIPACK,0N0E - MP B&J CUPS,1/1/17,8.2,0,131762,73236,49771,27252,27128,26113,26043,24324,19555,15598,8998,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J MULTIPACK,0N0E - MP B&J CUPS,1/1/17,8.2,0,136655,78275,53870,29021,29165,28012,27772,25663,20630,16664,9525,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J MULTIPACK,0N0E - MP B&J CUPS,1/1/17,8.2,0,18231,10138,6872,3771,3830,3690,3626,3467,2681,2209,1214,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J MULTIPACK,0N0E - MP B&J CUPS,1/1/17,8.2,0,53922,30255,20606,11411,11010,10825,10738,10399,7839,6619,3614,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J PACKAGED,011H - B&J PINTS FE,1/1/17,24.55,0,560,307,215,116,117,111,110,103,82,67,37,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J PACKAGED,011H - B&J PINTS FE,1/1/17,24.55,0,3378,1836,1296,681,693,661,678,621,503,405,226,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J PACKAGED,011H - B&J PINTS FE,1/1/17,24.55,0,1132,627,422,232,228,222,221,209,164,134,74,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J PACKAGED,011H - B&J PINTS FE,1/1/17,24.55,0,1674,926,654,341,350,341,333,310,244,199,111,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J PACKAGED,011H - B&J PINTS FE,1/1/17,24.55,0,5602,3137,2143,1169,1179,1123,1136,1064,811,686,382,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J PACKAGED,011I - B&J QUARTS (12),1/1/17,66.17,0,517,291,197,110,108,103,104,98,76,63,34,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J PACKAGED,0O03 - B&J PINTS,1/1/17,24.55,0,29022,16065,11045,5886,6060,5689,5898,5463,4261,3481,1958,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J PACKAGED,0O03 - B&J PINTS,1/1/17,24.55,0,15256,8659,5885,3182,3167,3017,3030,2930,2253,1863,1018,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J PACKAGED,0O03 - B&J PINTS,1/1/17,24.55,0,3428,1875,1277,697,707,679,677,646,491,410,231,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J PACKAGED,0O03 - B&J PINTS,1/1/17,24.55,0,15166,8469,5896,3254,3220,3080,3125,2906,2250,1901,1025,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J PACKAGED,0O03 - B&J PINTS,1/1/17,24.55,0,8535,4742,3310,1775,1764,1711,1718,1579,1255,1033,582,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J PACKAGED,0O03 - B&J PINTS,1/1/17,24.55,0,51649,29217,20403,10952,10713,10464,10587,9986,7666,6479,3587,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J PACKAGED,0O03 - B&J PINTS,1/1/17,24.55,0,1653,923,636,350,351,330,342,310,243,205,112,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J PACKAGED,0O03 - B&J PINTS,1/1/17,24.55,0,31996,17954,12363,6804,6743,6451,6403,5964,4757,3876,2194,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J PACKAGED,0O03 - B&J PINTS,1/1/17,24.55,0,26869,14562,10083,5461,5523,5398,5346,5080,3897,3187,1819,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J PACKAGED,0O03 - B&J PINTS,1/1/17,24.55,0,21766,12179,8453,4550,4602,4494,4441,4131,3270,2623,1502,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J PACKAGED,0O03 - B&J PINTS,1/1/17,24.55,0,12287,6777,4652,2542,2524,2476,2397,2276,1795,1473,826,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J PACKAGED,0O03 - B&J PINTS,1/1/17,24.55,0,52719,30312,20474,11301,11259,10990,10716,10040,7944,6641,3702,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J PACKAGED,0O03 - B&J PINTS,1/1/17,24.55,0,40789,22553,15588,8555,8323,8065,8181,7677,5985,4837,2740,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J PACKAGED,0O03 - B&J PINTS,1/1/17,24.55,0,105107,60341,40160,22051,21893,21451,21627,19858,15847,12965,7228,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J PACKAGED,0O03 - B&J PINTS,1/1/17,24.55,0,31318,18132,12113,6684,6507,6390,6472,5968,4791,3961,2164,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J PACKAGED,0O03 - B&J PINTS,1/1/17,24.55,0,84550,46462,31900,17115,17177,16537,16896,15802,12359,10102,5787,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J PACKAGED,0O03 - B&J PINTS,1/1/17,24.55,0,198883,113809,77618,42366,41956,39854,40826,38805,29323,24103,13753,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J PACKAGED,0O03 - B&J PINTS,1/1/17,24.55,0,19583,10880,7376,4109,4037,4003,3953,3667,2900,2351,1316,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J PACKAGED,0O03 - B&J PINTS,1/1/17,24.55,0,146160,80699,57650,30722,30350,30106,29335,27907,21365,17863,9884,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J PACKAGED,0O03 - B&J PINTS,1/1/17,24.55,0,159663,87888,61163,32510,33716,32420,32469,29760,23956,19260,10954,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J PACKAGED,0O03 - B&J PINTS,1/1/17,24.55,0,57385,32838,22260,12168,11947,11538,11508,11038,8485,7069,3895,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J PACKAGED,0O03 - B&J PINTS,1/1/17,24.55,0,31379,17498,11950,6500,6367,6174,6267,5782,4519,3786,2136,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J PACKAGED,0O03 - B&J PINTS,1/1/17,24.55,0,169786,95370,65024,35432,36237,34436,34756,32111,25010,21122,11866,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J PACKAGED,0O03 - B&J PINTS,1/1/17,24.55,0,1958,1128,768,413,412,409,399,375,299,242,135,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J PACKAGED,0O03 - B&J PINTS,1/1/17,24.55,0,630,342,241,130,130,125,127,116,92,77,42,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J PACKAGED,0O03 - B&J PINTS,1/1/17,24.55,0,24957,14080,9809,5214,5272,4955,5092,4791,3643,3041,1677,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J PACKAGED,0O03 - B&J PINTS,1/1/17,24.55,0,83824,46828,31921,17651,17548,17127,16693,16201,12694,10315,5763,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J PACKAGED,0O03 - B&J PINTS,1/1/17,24.55,0,98823,53639,37771,20591,20612,19824,20038,18433,14716,11851,6618,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J PACKAGED,0O03 - B&J PINTS,1/1/17,24.55,0,52519,30222,20733,11043,11058,10834,10768,10259,7821,6515,3642,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J PACKAGED,0O03 - B&J PINTS,1/1/17,24.55,0,19459,10881,7531,4119,4170,4002,3917,3787,2880,2435,1352,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J PACKAGED,0O03 - B&J PINTS,1/1/17,24.55,0,41799,23810,16452,8700,8669,8301,8334,7901,6175,5165,2866,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J PACKAGED,0O03 - B&J PINTS,1/1/17,24.55,0,170698,97871,67269,36244,36133,34821,35089,32245,25560,20621,11625,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J PACKAGED,0O03 - B&J PINTS,1/1/17,24.55,0,49188,26800,18384,10217,10279,9843,9581,9100,7066,5889,3357,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J PACKAGED,0O03 - B&J PINTS,1/1/17,24.55,0,16224,9037,6316,3348,3373,3247,3296,3038,2429,2003,1114,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J PACKAGED,0O03 - B&J PINTS,1/1/17,24.55,0,25362,14276,9873,5352,5300,5119,5233,4778,3756,3118,1715,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J PACKAGED,0O03 - B&J PINTS,1/1/17,24.55,0,7246,3984,2760,1467,1500,1450,1463,1332,1059,875,494,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J PACKAGED,0O03 - B&J PINTS,1/1/17,24.55,0,56995,32269,21999,12110,11814,11811,11671,10770,8654,7017,3957,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J PACKAGED,0O03 - B&J PINTS,1/1/17,24.55,0,52879,28648,19749,10697,11031,10448,10425,9888,7599,6333,3594,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J PACKAGED,0O03 - B&J PINTS,1/1/17,24.55,0,6294,3583,2459,1302,1332,1300,1285,1209,944,772,428,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J PACKAGED,0O03 - B&J PINTS,1/1/17,24.55,0,12585,7116,4905,2624,2674,2598,2577,2427,1915,1537,882,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J PACKAGED,0O03 - B&J PINTS,1/1/17,24.55,0,975,546,381,202,203,200,201,185,144,120,67,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J PACKAGED,0O03 - B&J PINTS,1/1/17,24.55,0,23725,13060,9151,4887,4992,4710,4812,4470,3542,2857,1604,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J PACKAGED,0O03 - B&J PINTS,1/1/17,24.55,0,26163,14382,9839,5343,5462,5286,5180,4945,3816,3202,1764,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J PACKAGED,0O03 - B&J PINTS,1/1/17,24.55,0,1748,950,673,359,355,348,347,323,252,213,117,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J PACKAGED,0O03 - B&J PINTS,1/1/17,24.55,0,523,288,196,110,106,104,104,98,76,64,35,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J PACKAGED,0O03 - B&J PINTS,1/1/17,24.55,0,9798,5496,3770,2023,2058,1937,1924,1802,1429,1191,663,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J PACKAGED,0O03 - B&J PINTS,1/1/17,24.55,0,37261,20906,14099,7734,7594,7464,7492,7014,5423,4520,2494,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J PACKAGED,0O03 - B&J PINTS,1/1/17,24.55,0,36973,20238,14272,7744,7538,7370,7458,6879,5553,4406,2518,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J PACKAGED,0O03 - B&J PINTS,1/1/17,24.55,0,80703,44815,30427,16491,16540,15938,16264,14888,11923,9729,5435,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J PACKAGED,0O03 - B&J PINTS,1/1/17,24.55,0,1860,1046,713,387,381,364,366,354,272,223,122,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J PACKAGED,0O03 - B&J PINTS,1/1/17,24.55,0,1304,735,517,273,279,266,265,252,196,159,88,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J PACKAGED,0O03 - B&J PINTS,1/1/17,24.55,0,9273,5185,3509,1886,1876,1851,1870,1723,1343,1140,627,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J PACKAGED,0O03 - B&J PINTS,1/1/17,24.55,0,41993,23562,15843,8655,8813,8544,8487,7969,6219,5112,2810,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J PACKAGED,0O03 - B&J PINTS,1/1/17,24.55,0,18603,10552,7169,3872,3888,3805,3760,3534,2822,2309,1269,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J PACKAGED,0O03 - B&J PINTS,1/1/17,24.55,0,112780,62246,42757,23476,22845,22509,22518,20969,16613,13535,7619,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J PACKAGED,0O03 - B&J PINTS,1/1/17,24.55,0,13886,7760,5252,2894,2863,2705,2774,2612,2017,1652,936,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J PACKAGED,0O04 - B&J QUARTS,1/1/17,33.09,0,5613,3140,2112,1139,1132,1114,1125,1028,818,684,369,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J PACKAGED,0O04 - B&J QUARTS,1/1/17,33.09,0,1481,808,569,298,302,290,299,279,218,178,99,B&J
Ice Cream,B&J NOVELTIES AND PACKAGED,B&J PACKAGED,0Z0O - B&J QUARTS FAIR TRADE,1/1/17,33.09,0,1087,606,426,232,233,224,221,205,164,132,75,B&J
Ice Cream,GHB NOVELTIES,SICLE MULTIPACK,011L - MP SICLE VALUE ADDED LOW FE,1/1/17,18.81,0,1653,901,629,340,337,337,337,312,239,196,110,SICLE
Ice Cream,GHB NOVELTIES,SICLE MULTIPACK,011L - MP SICLE VALUE ADDED LOW FE,1/1/17,18.81,0,2077,1123,800,425,424,414,417,393,303,245,140,SICLE
Ice Cream,GHB NOVELTIES,SICLE MULTIPACK,011N - MP SICLE HIGH FE,1/1/17,17.4,0,2244,1271,880,472,461,453,448,431,333,280,150,SICLE
Ice Cream,GHB NOVELTIES,SICLE MULTIPACK,011N - MP SICLE HIGH FE,1/1/17,17.4,0,2650,1486,999,544,543,540,534,488,391,314,176,SICLE
Ice Cream,GHB NOVELTIES,SICLE MULTIPACK,0M0R - MP SICLE BASIC,1/1/17,22.57,0,1552,861,589,324,321,308,308,287,231,188,105,SICLE
Ice Cream,GHB NOVELTIES,SICLE MULTIPACK,0M0X - MP SICLE HIGH,1/1/17,17.4,0,46797,25218,17765,9655,9473,9332,9319,8841,6888,5531,3118,SICLE
Ice Cream,GHB NOVELTIES,SICLE MULTIPACK,0M0X - MP SICLE HIGH,1/1/17,17.4,0,78362,43571,30693,16317,16076,15770,15792,15079,11583,9687,5218,SICLE
Ice Cream,GHB NOVELTIES,SICLE MULTIPACK,0M0X - MP SICLE HIGH,1/1/17,17.4,0,35590,20186,13956,7320,7322,7034,7263,6718,5237,4351,2436,SICLE
Ice Cream,GHB NOVELTIES,SICLE MULTIPACK,0M0X - MP SICLE HIGH,1/1/17,17.4,0,12870,7093,4815,2623,2608,2549,2564,2423,1829,1566,871,SICLE
Ice Cream,GHB NOVELTIES,SICLE MULTIPACK,0M0X - MP SICLE HIGH,1/1/17,17.4,0,65702,36745,25262,13644,13627,13480,13378,12427,10007,8006,4592,SICLE
Ice Cream,GHB NOVELTIES,SICLE MULTIPACK,0M0X - MP SICLE HIGH,1/1/17,17.4,0,111927,63507,43170,23742,23827,22338,22840,21267,16841,14012,7653,SICLE
Ice Cream,GHB NOVELTIES,SICLE MULTIPACK,0M0X - MP SICLE HIGH,1/1/17,17.4,0,61408,33646,23937,12533,12646,12147,12386,11445,8860,7424,4219,SICLE
Ice Cream,GHB NOVELTIES,SICLE MULTIPACK,0M0X - MP SICLE HIGH,1/1/17,17.4,0,71479,39591,27648,15071,14713,14295,14467,13663,10476,8654,4837,SICLE
Ice Cream,GHB NOVELTIES,SICLE MULTIPACK,0M0X - MP SICLE HIGH,1/1/17,17.4,0,169550,93975,64502,35709,34855,33730,34902,31644,24840,20738,11763,SICLE
Ice Cream,GHB NOVELTIES,SICLE MULTIPACK,0M0X - MP SICLE HIGH,1/1/17,17.4,0,3387,1928,1289,710,708,670,678,635,500,408,227,SICLE
Ice Cream,GHB NOVELTIES,SICLE MULTIPACK,0M0X - MP SICLE HIGH,1/1/17,17.4,0,68131,38314,26045,14186,14223,14096,13775,12879,10093,8379,4598,SICLE
Ice Cream,GHB NOVELTIES,SICLE MULTIPACK,0M0X - MP SICLE HIGH,1/1/17,17.4,0,12349,6761,4821,2545,2576,2454,2478,2360,1808,1475,851,SICLE
Ice Cream,GHB NOVELTIES,SICLE MULTIPACK,0M0X - MP SICLE HIGH,1/1/17,17.4,0,141613,79039,53701,29181,29033,28002,27980,27156,20686,17159,9404,SICLE
Ice Cream,GHB NOVELTIES,SICLE MULTIPACK,0M0X - MP SICLE HIGH,1/1/17,17.4,0,2304,1315,906,483,493,476,467,439,347,286,160,SICLE
Ice Cream,GHB NOVELTIES,SICLE MULTIPACK,0M0X - MP SICLE HIGH,1/1/17,17.4,0,27995,15636,10575,5778,5833,5601,5532,5250,4206,3419,1924,SICLE
Ice Cream,GHB NOVELTIES,SICLE MULTIPACK,0M0X - MP SICLE HIGH,1/1/17,17.4,0,106363,59455,41070,22683,22638,21786,21943,20285,15617,13154,7300,SICLE
